"Report.Number","Occurred.Date","Occurred.Time","Reported.Date","Reported.Time","Crime.Subcategory","Primary.Offense.Description","Precinct","Sector","Neighborhood"
20180000170927,2018-05-13,1100,2018-05-13,1718,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTHWEST","W","COMMERCIAL DUWAMISH"
20180000171828,2018-05-13,1100,2018-05-14,1017,"CAR PROWL","THEFT-CARPROWL","WEST","M","SLU/CASCADE"
20180000170676,2018-05-13,1003,2018-05-13,1026,"TRESPASS","TRESPASS","WEST","Q","QUEEN ANNE"
20180000171144,2018-05-13,1000,2018-05-13,1710,"MOTOR VEHICLE THEFT","VEH-THEFT-TRUCK","NORTH","J","BALLARD NORTH"
20180000170662,2018-05-13,946,2018-05-13,946,"AGGRAVATED ASSAULT","ASSLT-AGG-WEAPON","EAST","C","CENTRAL AREA/SQUIRE PARK"
20180000904422,2018-05-13,945,2018-05-20,1152,"THEFT-BUILDING","THEFT-BUILDING","EAST","E","FIRST HILL"
20180000170914,2018-05-13,915,2018-05-13,1509,"CAR PROWL","THEFT-CARPROWL","WEST","M","DOWNTOWN COMMERCIAL"
20180000188151,2018-05-13,835,2018-05-25,1057,"THEFT-ALL OTHER","THEFT-OTH","WEST","K","PIONEER SQUARE"
20180000171032,2018-05-13,830,2018-05-13,1608,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","J","PHINNEY RIDGE"
20180000904331,2018-05-13,805,2018-05-17,811,"THEFT-ALL OTHER","THEFT-OTH","WEST","Q","QUEEN ANNE"
20180000904192,2018-05-13,800,2018-05-13,1531,"CAR PROWL","THEFT-CARPROWL","WEST","Q","QUEEN ANNE"
20180000170591,2018-05-13,751,2018-05-13,751,"THEFT-ALL OTHER","THEFT-OTH","NORTH","N","NORTHGATE"
20180000170989,2018-05-13,743,2018-05-13,1811,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","NORTH","L","NORTHGATE"
20180000170578,2018-05-13,733,2018-05-13,733,"THEFT-ALL OTHER","THEFT-OTH","EAST","C","CENTRAL AREA/SQUIRE PARK"
20180000172020,2018-05-13,730,2018-05-14,1210,"CAR PROWL","THEFT-LICENSE PLATE","NORTH","N","BITTERLAKE"
20180000904259,2018-05-13,700,2018-05-15,947,"CAR PROWL","THEFT-AUTOACC","EAST","E","CAPITOL HILL"
20180000173498,2018-05-13,645,2018-05-15,1142,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","WEST","D","EASTLAKE - WEST"
20180000170518,2018-05-13,432,2018-05-13,432,"THEFT-ALL OTHER","THEFT-OTH","EAST","E","CAPITOL HILL"
20180000170508,2018-05-13,421,2018-05-13,421,"ROBBERY-COMMERCIAL","ROBBERY-BUSINESS-GUN","SOUTH","R","NORTH BEACON HILL"
20180000172946,2018-05-14,2305,2018-05-14,2357,"TRESPASS","TRESPASS","WEST","D","BELLTOWN"
20180000170509,2018-05-13,420,2018-05-13,523,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","WEST","D","SLU/CASCADE"
20180000170511,2018-05-13,420,2018-05-13,739,"THEFT-BUILDING","THEFT-BUILDING","WEST","M","DOWNTOWN COMMERCIAL"
20180000170506,2018-05-13,400,2018-05-13,410,"ROBBERY-STREET","ROBBERY-STREET-WEAPON","NORTH","U","UNIVERSITY"
20180000170492,2018-05-13,354,2018-05-13,354,"ROBBERY-STREET","ROBBERY-STREET-BODYFORCE","WEST","K","DOWNTOWN COMMERCIAL"
